ts,s_mem_available,s_mem_used,s_mem_free,s_swap_used,s_swap_free,s_swap_percent,s_disk_usage_used,s_disk_usage_free,s_disk_usage_percent,s_io_counters_read,s_io_counters_write,s_io_counters_read_bytes,s_io_counters_write_bytes,s_io_counters_read_time,s_io_counters_write_time,s_syscalls_ctx_switches,s_syscalls_interrupts,s_syscalls_soft_interrupts,s_syscalls_syscalls,s_cpu_percent
2024-11-20 18:19:56.794967,8301989888,8827645952,8301989888,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159429,1868968,105172079104,52521490432,18906,7796,3842578809,2189740394,0,1787277387,0.8
2024-11-20 18:19:57.802270,8301051904,8828583936,8301051904,67903488,7448289280,0.9,414832316416,63878275072,86.7,2159429,1868990,105172079104,52521621504,18906,7796,3842614812,2189761477,0,1787378712,1.7
2024-11-20 18:19:58.808977,8300646400,8828989440,8300646400,67903488,7448289280,0.9,414832316416,63878275072,86.7,2159429,1869011,105172079104,52521716224,18906,7796,3842657696,2189786688,0,1787499754,1.8
2024-11-20 18:19:59.816188,8276971520,8852664320,8276971520,67903488,7448289280,0.9,414832316416,63878275072,86.7,2159430,1869029,105172095488,52521875968,18906,7796,3842734236,2189830066,0,1787731721,5.5
2024-11-20 18:20:00.822816,8288079872,8841555968,8288079872,67903488,7448289280,0.9,414832316416,63878275072,86.7,2159430,1869090,105172095488,52522309120,18906,7796,3842806133,2189869873,0,1787902566,4.3
2024-11-20 18:20:01.828769,8280014848,8849620992,8280014848,67903488,7448289280,0.9,414832316416,63878275072,86.7,2159430,1869093,105172095488,52522320896,18906,7796,3842831655,2189885909,0,1787994888,1.6
2024-11-20 18:20:02.834408,8280764416,8848871424,8280764416,67903488,7448289280,0.9,414832316416,63878275072,86.7,2159430,1869096,105172095488,52522468352,18906,7796,3842852234,2189899251,0,1788049579,1.2
2024-11-20 18:20:03.841393,8289529856,8840105984,8289529856,67903488,7448289280,0.9,414832316416,63878275072,86.7,2159430,1869129,105172095488,52522718208,18906,7796,3842877067,2189915034,0,1788129862,1.9
2024-11-20 18:20:04.847262,8291028992,8838606848,8291028992,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159430,1869170,105172095488,52523020800,18906,7796,3842899279,2189929336,0,1788195029,2.1
2024-11-20 18:20:05.853340,8299094016,8830541824,8299094016,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159431,1869178,105172111872,52523168768,18906,7796,3842923170,2189944419,0,1788268281,0.3
2024-11-20 18:20:06.859874,8300335104,8829300736,8300335104,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159431,1869179,105172111872,52523172864,18906,7796,3842944544,2189958200,0,1788326335,1.6
2024-11-20 18:20:07.865876,8302850048,8826785792,8302850048,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159431,1869198,105172111872,52523312128,18906,7796,3842967308,2189972762,0,1788392504,1.3
2024-11-20 18:20:08.871581,8304427008,8825208832,8304427008,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159431,1869199,105172111872,52523316224,18906,7796,3842988657,2189986469,0,1788448095,1.2
2024-11-20 18:20:09.877253,8305553408,8824082432,8305553408,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159431,1869202,105172111872,52523328512,18906,7796,3843012738,2190001582,0,1788517235,1.4
2024-11-20 18:20:10.884282,8305709056,8823926784,8305709056,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159431,1869205,105172111872,52523339264,18906,7796,3843034038,2190015215,0,1788577243,1.4
2024-11-20 18:20:11.890075,8306442240,8823193600,8306442240,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159431,1869206,105172111872,52523343360,18906,7796,3843058121,2190030881,0,1788650348,0.7
2024-11-20 18:20:12.895875,8306458624,8823177216,8306458624,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159431,1869207,105172111872,52523347968,18906,7796,3843079199,2190044543,0,1788725418,2.1
2024-11-20 18:20:13.901360,8306581504,8823054336,8306581504,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159432,1869212,105172128256,52523389440,18906,7796,3843102329,2190059537,0,1788793557,1.6
2024-11-20 18:20:14.908289,8312655872,8816979968,8312655872,67903488,7448289280,0.9,414832386048,63878205440,86.7,2159432,1869212,105172128256,52523389440,18906,7796,3843123871,2190073630,0,1788851338,0.8
2024-11-20 18:20:15.914697,8308715520,8820920320,8308715520,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159432,1869259,105172128256,52523766784,18906,7796,3843149405,2190089584,0,1788928773,2.2
2024-11-20 18:20:16.921890,8311361536,8818274304,8311361536,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159432,1869260,105172128256,52523767296,18906,7796,3843173371,2190105006,0,1788996096,1.2
2024-11-20 18:20:17.928033,8333856768,8795779072,8333856768,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159432,1869272,105172128256,52523949056,18906,7796,3843197833,2190120547,0,1789065913,2.0
2024-11-20 18:20:18.933716,8335638528,8793997312,8335638528,67903488,7448289280,0.9,414832320512,63878270976,86.7,2159432,1869272,105172128256,52523949056,18906,7796,3843221576,2190135729,0,1789130607,2.3
