ts,s_mem_available,s_mem_used,s_mem_free,s_swap_used,s_swap_free,s_swap_percent,s_disk_usage_used,s_disk_usage_free,s_disk_usage_percent,s_io_counters_read,s_io_counters_write,s_io_counters_read_bytes,s_io_counters_write_bytes,s_io_counters_read_time,s_io_counters_write_time,s_syscalls_ctx_switches,s_syscalls_interrupts,s_syscalls_soft_interrupts,s_syscalls_syscalls,s_cpu_percent
2024-11-20 18:37:18.725395,8799911936,8329723904,8799911936,75821056,7440371712,1.0,414835326976,63875264512,86.7,2159669,1879698,105182453760,52648691712,18907,7844,3875633772,2210034110,0,1878279138,1.3
2024-11-20 18:37:19.731827,8799629312,8330006528,8799629312,75821056,7440371712,1.0,414835326976,63875264512,86.7,2159669,1879701,105182453760,52648724480,18907,7844,3875657334,2210048883,0,1878344546,1.2
2024-11-20 18:37:20.737204,8754503680,8375132160,8754503680,75821056,7440371712,1.0,414830444544,63880146944,86.7,2159707,1879876,105183853568,52653901824,18907,7844,3875718363,2210083642,0,1878646075,7.8
2024-11-20 18:37:21.745485,8697135104,8432500736,8697135104,75821056,7440371712,1.0,414834810880,63875780608,86.7,2159959,1880993,105191322112,52681738240,18908,7844,3875778080,2210117951,0,1878847611,6.0
2024-11-20 18:37:22.750767,8694276096,8435359744,8694276096,75821056,7440371712,1.0,414834814976,63875776512,86.7,2159977,1881123,105191748096,52683198976,18908,7844,3875801819,2210132239,0,1878934919,1.7
2024-11-20 18:37:23.756921,8700702720,8428933120,8700702720,75821056,7440371712,1.0,414834749440,63875842048,86.7,2159977,1881130,105191748096,52683239936,18908,7844,3875860609,2210167290,0,1879067937,2.2
2024-11-20 18:37:24.763311,8725622784,8404013056,8725622784,75821056,7440371712,1.0,414833635328,63876956160,86.7,2159991,1881222,105194123776,52688692224,18908,7844,3875918729,2210201986,0,1879241843,5.2
2024-11-20 18:37:25.769507,8745455616,8384180224,8745455616,75821056,7440371712,1.0,414833635328,63876956160,86.7,2159998,1881346,105194402304,52691758080,18908,7844,3875963083,2210228823,0,1879379367,2.4
2024-11-20 18:37:26.776313,8726679552,8402956288,8726679552,75821056,7440371712,1.0,414835339264,63875252224,86.7,2160001,1881369,105194455552,52692044800,18908,7844,3875992424,2210246540,0,1879493523,2.7
2024-11-20 18:37:27.782148,8732778496,8396857344,8732778496,75821056,7440371712,1.0,414835339264,63875252224,86.7,2160012,1881417,105196421632,52696333312,18908,7844,3876005022,2210255091,0,1879537471,0.4
