ts,s_mem_available,s_mem_used,s_mem_free,s_swap_used,s_swap_free,s_swap_percent,s_disk_usage_used,s_disk_usage_free,s_disk_usage_percent,s_io_counters_read,s_io_counters_write,s_io_counters_read_bytes,s_io_counters_write_bytes,s_io_counters_read_time,s_io_counters_write_time,s_syscalls_ctx_switches,s_syscalls_interrupts,s_syscalls_soft_interrupts,s_syscalls_syscalls,s_cpu_percent
2024-11-20 18:30:15.939738,8652275712,8477360128,8652275712,67903488,7448289280,0.9,414834413568,63876177920,86.7,2159593,1875715,105179079168,52602587136,18907,7823,3862590369,2202029970,0,1842683083,1.2
2024-11-20 18:30:16.946700,8652943360,8476692480,8652943360,67903488,7448289280,0.9,414834413568,63876177920,86.7,2159593,1875718,105179079168,52602614272,18907,7823,3862617180,2202046523,0,1842759060,2.2
2024-11-20 18:30:17.954138,8649060352,8480575488,8649060352,67903488,7448289280,0.9,414834413568,63876177920,86.7,2159593,1875722,105179079168,52602627072,18907,7823,3862651046,2202067047,0,1842896982,3.0
2024-11-20 18:30:18.959840,8642760704,8486875136,8642760704,67903488,7448289280,0.9,414834417664,63876173824,86.7,2159593,1875728,105179079168,52602719744,18907,7823,3862672144,2202080899,0,1842954463,1.5
2024-11-20 18:30:19.967121,8633200640,8496435200,8633200640,67903488,7448289280,0.9,414834417664,63876173824,86.7,2159593,1875728,105179079168,52602719744,18907,7823,3862697214,2202096439,0,1843025264,1.6
2024-11-20 18:30:20.972467,8633966592,8495669248,8633966592,67903488,7448289280,0.9,414834417664,63876173824,86.7,2159593,1875730,105179079168,52602725888,18907,7823,3862716806,2202109231,0,1843082258,1.6
2024-11-20 18:30:21.978551,8637800448,8491835392,8637800448,67903488,7448289280,0.9,414834487296,63876104192,86.7,2159593,1875763,105179079168,52602920960,18907,7823,3862740579,2202124338,0,1843160666,1.8
2024-11-20 18:30:22.984348,8645746688,8483889152,8645746688,67903488,7448289280,0.9,414834487296,63876104192,86.7,2159593,1875827,105179079168,52603320320,18907,7823,3862761502,2202138091,0,1843227927,2.1
2024-11-20 18:30:23.990202,8647753728,8481882112,8647753728,67903488,7448289280,0.9,414834487296,63876104192,86.7,2159593,1875830,105179079168,52603447296,18907,7823,3862783805,2202152527,0,1843287305,1.2
2024-11-20 18:30:24.995879,8646643712,8482992128,8646643712,67903488,7448289280,0.9,414834487296,63876104192,86.7,2159593,1875831,105179079168,52603449856,18907,7823,3862804969,2202166306,0,1843351386,1.8
2024-11-20 18:30:26.001402,8646516736,8483119104,8646516736,67903488,7448289280,0.9,414834487296,63876104192,86.7,2159593,1875832,105179079168,52603452416,18907,7824,3862825903,2202179760,0,1843410923,1.8
2024-11-20 18:30:27.007079,8648876032,8480759808,8648876032,67903488,7448289280,0.9,414834487296,63876104192,86.7,2159594,1875857,105179095552,52603639296,18907,7824,3862849316,2202194809,0,1843481624,1.8
2024-11-20 18:30:28.013818,8648667136,8480968704,8648667136,67903488,7448289280,0.9,414834487296,63876104192,86.7,2159594,1875857,105179095552,52603639296,18907,7824,3862869985,2202208154,0,1843533087,1.7
2024-11-20 18:30:29.019575,8649715712,8479920128,8649715712,67903488,7448289280,0.9,414834487296,63876104192,86.7,2159594,1875859,105179095552,52603645952,18907,7824,3862892728,2202222654,0,1843616591,2.7
