ts,s_mem_available,s_mem_used,s_mem_free,s_swap_used,s_swap_free,s_swap_percent,s_disk_usage_used,s_disk_usage_free,s_disk_usage_percent,s_io_counters_read,s_io_counters_write,s_io_counters_read_bytes,s_io_counters_write_bytes,s_io_counters_read_time,s_io_counters_write_time,s_syscalls_ctx_switches,s_syscalls_interrupts,s_syscalls_soft_interrupts,s_syscalls_syscalls,s_cpu_percent
2024-11-20 18:21:57.599589,8318017536,8811618304,8318017536,67903488,7448289280,0.9,414833033216,63877558272,86.7,2159450,1870286,105172668928,52532183552,18906,7801,3846362793,2192074632,0,1797956182,2.7
2024-11-20 18:21:58.607310,8314224640,8815411200,8314224640,67903488,7448289280,0.9,414833033216,63877558272,86.7,2159450,1870325,105172668928,52532365824,18906,7801,3846389494,2192091595,0,1798031577,2.2
2024-11-20 18:21:59.613340,8318128128,8811507712,8318128128,67903488,7448289280,0.9,414833033216,63877558272,86.7,2159450,1870329,105172668928,52532439552,18906,7801,3846439554,2192120998,0,1798173515,3.3
2024-11-20 18:22:00.621931,8315580416,8814055424,8315580416,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159450,1870338,105172668928,52532482560,18906,7801,3846474600,2192142334,0,1798269598,1.8
2024-11-20 18:22:01.627622,8326778880,8802856960,8326778880,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159450,1870339,105172668928,52532485120,18906,7801,3846506990,2192162227,0,1798349141,2.8
2024-11-20 18:22:02.633929,8323977216,8805658624,8323977216,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159450,1870342,105172668928,52532496384,18906,7802,3846537499,2192181381,0,1798450393,2.4
2024-11-20 18:22:03.640259,8327680000,8801955840,8327680000,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159450,1870342,105172668928,52532496384,18906,7802,3846561466,2192196841,0,1798513764,1.8
2024-11-20 18:22:04.646695,8423772160,8705863680,8423772160,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159450,1870377,105172668928,52532756992,18906,7802,3846627255,2192233220,0,1798610829,3.7
2024-11-20 18:22:05.652552,8430342144,8699293696,8430342144,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159450,1870380,105172668928,52532770304,18906,7802,3846659412,2192252943,0,1798691392,2.7
2024-11-20 18:22:06.659266,8430637056,8698998784,8430637056,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159450,1870382,105172668928,52532776960,18906,7802,3846688553,2192271291,0,1798772160,2.2
2024-11-20 18:22:07.667971,8437329920,8692305920,8437329920,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159450,1870382,105172668928,52532776960,18906,7802,3846710589,2192285700,0,1798830807,0.9
2024-11-20 18:22:08.674153,8436609024,8693026816,8436609024,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870386,105172685312,52532816384,18906,7802,3846737331,2192302811,0,1798905570,2.2
2024-11-20 18:22:09.681517,8434864128,8694771712,8434864128,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870390,105172685312,52532889088,18906,7802,3846776862,2192326671,0,1798992891,2.2
2024-11-20 18:22:10.687570,8411521024,8718114816,8411521024,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870390,105172685312,52532889088,18906,7802,3846824731,2192354371,0,1799098097,3.9
2024-11-20 18:22:11.694702,8413646848,8715988992,8413646848,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870393,105172685312,52532897792,18906,7802,3846856619,2192373851,0,1799183239,1.9
2024-11-20 18:22:12.702076,8413765632,8715870208,8413765632,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870394,105172685312,52532900864,18906,7802,3846882967,2192390558,0,1799251189,1.8
2024-11-20 18:22:13.708069,8414081024,8715554816,8414081024,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870396,105172685312,52532908032,18906,7802,3846911791,2192408518,0,1799347159,2.2
2024-11-20 18:22:14.715334,8424325120,8705310720,8424325120,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870397,105172685312,52532912128,18906,7802,3846933432,2192422994,0,1799405390,1.3
2024-11-20 18:22:15.721118,8421658624,8707977216,8421658624,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870424,105172685312,52533072896,18906,7802,3846958060,2192438989,0,1799482667,1.7
2024-11-20 18:22:16.727376,8423362560,8706273280,8423362560,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870425,105172685312,52533075968,18906,7802,3846991578,2192459745,0,1799564383,3.2
2024-11-20 18:22:17.734181,8422793216,8706842624,8422793216,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870445,105172685312,52533214720,18906,7802,3847017938,2192476509,0,1799637937,1.6
2024-11-20 18:22:18.739695,8448794624,8680841216,8448794624,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870445,105172685312,52533214720,18906,7802,3847040287,2192490824,0,1799704846,2.6
2024-11-20 18:22:19.745946,8443404288,8686231552,8443404288,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870450,105172685312,52533306368,18906,7802,3847065815,2192506886,0,1799778022,2.0
2024-11-20 18:22:20.752157,8443867136,8685768704,8443867136,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159451,1870451,105172685312,52533309952,18906,7802,3847088260,2192521577,0,1799842132,2.6
2024-11-20 18:22:21.760789,8444596224,8685039616,8444596224,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159452,1870456,105172750848,52533401088,18906,7802,3847124216,2192543387,0,1799933630,1.9
2024-11-20 18:22:22.767185,8444669952,8684965888,8444669952,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159452,1870466,105172750848,52533462528,18906,7802,3847153048,2192561479,0,1800003728,3.4
2024-11-20 18:22:23.773629,8445636608,8683999232,8445636608,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159452,1870469,105172750848,52533474304,18906,7802,3847180463,2192578626,0,1800082126,2.4
2024-11-20 18:22:24.780612,8446738432,8682897408,8446738432,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159452,1870472,105172750848,52533486080,18906,7803,3847206108,2192594886,0,1800165900,3.0
2024-11-20 18:22:25.787049,8445702144,8683933696,8445702144,67903488,7448289280,0.9,414832967680,63877623808,86.7,2159452,1870472,105172750848,52533486080,18906,7803,3847233711,2192612151,0,1800248683,3.1
2024-11-20 18:22:26.794699,8450486272,8679149568,8450486272,67903488,7448289280,0.9,414833033216,63877558272,86.7,2159452,1870473,105172750848,52533489664,18906,7803,3847259510,2192628649,0,1800317355,2.1
2024-11-20 18:22:27.800868,8457289728,8672346112,8457289728,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159452,1870497,105172750848,52533634048,18906,7803,3847289717,2192647369,0,1800414011,2.6
2024-11-20 18:22:28.806586,8444522496,8685113344,8444522496,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159452,1870507,105172750848,52533882368,18906,7803,3847315631,2192663808,0,1800500819,2.4
2024-11-20 18:22:29.812163,8445558784,8684077056,8445558784,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159452,1870507,105172750848,52533882368,18906,7803,3847344214,2192681458,0,1800579767,1.9
2024-11-20 18:22:30.818565,8445849600,8683786240,8445849600,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159452,1870513,105172750848,52533956096,18906,7804,3847369425,2192697739,0,1800650316,2.0
2024-11-20 18:22:31.825929,8446341120,8683294720,8446341120,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159452,1870553,105172750848,52534135296,18906,7804,3847393615,2192713285,0,1800721935,1.8
2024-11-20 18:22:32.831645,8447959040,8681676800,8447959040,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159452,1870554,105172750848,52534139392,18906,7804,3847416619,2192728346,0,1800786352,2.3
2024-11-20 18:22:33.838595,8447840256,8681795584,8447840256,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159452,1870554,105172750848,52534139392,18906,7804,3847439968,2192743494,0,1800853824,1.7
2024-11-20 18:22:34.844669,8449437696,8680198144,8449437696,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870559,105172767232,52534196736,18906,7804,3847493750,2192774753,0,1800966157,2.2
2024-11-20 18:22:35.851962,8430891008,8698744832,8430891008,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870579,105172767232,52534348288,18906,7804,3847551515,2192807930,0,1801115212,4.6
2024-11-20 18:22:36.860068,8446226432,8683409408,8446226432,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870580,105172767232,52534348800,18906,7804,3847586823,2192829444,0,1801199571,2.8
2024-11-20 18:22:37.865902,8447918080,8681717760,8447918080,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870580,105172767232,52534348800,18906,7804,3847626296,2192853106,0,1801288279,1.9
2024-11-20 18:22:38.872051,8431906816,8697729024,8431906816,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870582,105172767232,52534353408,18906,7804,3847662173,2192874620,0,1801376690,1.7
2024-11-20 18:22:39.879226,8428183552,8701452288,8428183552,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870583,105172767232,52534353920,18906,7804,3847721938,2192909091,0,1801498907,3.6
2024-11-20 18:22:40.886482,8393519104,8736116736,8393519104,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870586,105172767232,52534370816,18906,7804,3847763401,2192933789,0,1801601905,3.1
2024-11-20 18:22:41.892923,8385286144,8744349696,8385286144,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870586,105172767232,52534370816,18906,7804,3847789741,2192950768,0,1801670115,2.3
2024-11-20 18:22:42.899697,8386961408,8742674432,8386961408,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870587,105172767232,52534371328,18906,7804,3847823194,2192971399,0,1801752894,2.6
2024-11-20 18:22:43.905545,8385994752,8743641088,8385994752,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870588,105172767232,52534371840,18906,7804,3847847782,2192987040,0,1801815794,1.7
2024-11-20 18:22:44.912278,8418529280,8711106560,8418529280,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870590,105172767232,52534375936,18906,7804,3847870955,2193002039,0,1801883034,1.0
2024-11-20 18:22:45.919132,8417771520,8711864320,8417771520,67903488,7448289280,0.9,414833041408,63877550080,86.7,2159453,1870633,105172767232,52534724096,18906,7804,3847923175,2193032550,0,1801993109,3.7
2024-11-20 18:22:46.926012,8406048768,8723587072,8406048768,67903488,7448289280,0.9,414833049600,63877541888,86.7,2159453,1870638,105172767232,52534741504,18906,7804,3847981278,2193067109,0,1802148087,4.2
2024-11-20 18:22:47.932137,8402833408,8726802432,8402833408,67903488,7448289280,0.9,414833049600,63877541888,86.7,2159454,1870700,105172783616,52535079936,18906,7804,3848059428,2193111057,0,1802346516,3.7
2024-11-20 18:22:48.938160,8374349824,8755286016,8374349824,67903488,7448289280,0.9,414833049600,63877541888,86.7,2159454,1870702,105172783616,52535085056,18906,7804,3848098133,2193134405,0,1802442410,3.0
2024-11-20 18:22:49.943785,8378957824,8750678016,8378957824,67903488,7448289280,0.9,414833049600,63877541888,86.7,2159454,1870716,105172783616,52535183360,18906,7804,3848126102,2193151696,0,1802510104,2.6
