ts,s_mem_available,s_mem_used,s_mem_free,s_swap_used,s_swap_free,s_swap_percent,s_disk_usage_used,s_disk_usage_free,s_disk_usage_percent,s_io_counters_read,s_io_counters_write,s_io_counters_read_bytes,s_io_counters_write_bytes,s_io_counters_read_time,s_io_counters_write_time,s_syscalls_ctx_switches,s_syscalls_interrupts,s_syscalls_soft_interrupts,s_syscalls_syscalls,s_cpu_percent
2024-07-03 15:05:21.812966,7218982912,9907507200,7218982912,156053504,8165445632,1.9,478461444096,965324800,99.8,315875,304264,11492869120,6688284672,1070,435,280511954,185008181,0,872105994,5.4
2024-07-03 15:05:23.081027,7242694656,9883795456,7242694656,156053504,8165445632,1.9,478461444096,965324800,99.8,315875,304264,11492869120,6688284672,1070,435,280521363,185015338,0,872141457,5.6
2024-07-03 15:05:24.086403,7246155776,9880334336,7246155776,156053504,8165445632,1.9,478461444096,965324800,99.8,315875,304298,11492869120,6688523776,1070,435,280531387,185022511,0,872179858,1.6
2024-07-03 15:05:25.093562,7228465152,9898024960,7228465152,156053504,8165445632,1.9,478461444096,965324800,99.8,315875,304304,11492869120,6688542208,1070,435,280541837,185030110,0,872214828,0.9
2024-07-03 15:05:26.100227,7232794624,9893695488,7232794624,156053504,8165445632,1.9,478461444096,965324800,99.8,315875,304310,11492869120,6688649216,1070,435,280551227,185037241,0,872253714,1.6
2024-07-03 15:05:27.105877,7237992448,9888497664,7237992448,156053504,8165445632,1.9,478461444096,965324800,99.8,315875,304310,11492869120,6688649216,1070,435,280559757,185043576,0,872286008,0.8
2024-07-03 15:05:28.111830,7240568832,9885921280,7240568832,156053504,8165445632,1.9,478461444096,965324800,99.8,315875,304313,11492869120,6689067008,1070,435,280568622,185050051,0,872317767,1.2
2024-07-03 15:05:29.116922,7242321920,9884168192,7242321920,156053504,8165445632,1.9,478461444096,965324800,99.8,315875,304346,11492869120,6690398208,1070,435,280577355,185056893,0,872351763,3.8
2024-07-03 15:05:30.122755,7249702912,9876787200,7249702912,156053504,8165445632,1.9,478461444096,965324800,99.8,315875,304419,11492869120,6690700800,1070,435,280586195,185063387,0,872387370,0.4
2024-07-03 15:05:31.129701,7251951616,9874538496,7251951616,156053504,8165445632,1.9,478462033920,964734976,99.8,315875,304424,11492869120,6690946560,1070,435,280595022,185069785,0,872427215,0.8
2024-07-03 15:05:32.135143,7251177472,9875312640,7251177472,156053504,8165445632,1.9,478462033920,964734976,99.8,315875,304424,11492869120,6690946560,1070,435,280603478,185076418,0,872478759,1.7
2024-07-03 15:05:33.139937,7252291584,9874198528,7252291584,156053504,8165445632,1.9,478462033920,964734976,99.8,315875,304426,11492869120,6691233280,1070,435,280611819,185082924,0,872511912,0.7
2024-07-03 15:05:34.145361,7253389312,9873100800,7253389312,156053504,8165445632,1.9,478462033920,964734976,99.8,315875,304459,11492869120,6692548096,1070,435,280620511,185089875,0,872547416,0.8
2024-07-03 15:05:35.152057,7253954560,9872535552,7253954560,156053504,8165445632,1.9,478462033920,964734976,99.8,315875,304466,11492869120,6692580864,1070,435,280630643,185097458,0,872586622,2.1
2024-07-03 15:05:36.157298,7259410432,9867079680,7259410432,156053504,8165445632,1.9,478462033920,964734976,99.8,315875,304474,11492869120,6692642816,1070,435,280639659,185103939,0,872626606,1.7
2024-07-03 15:05:37.164118,7255334912,9871155200,7255334912,156053504,8165445632,1.9,478462033920,964734976,99.8,315875,304476,11492869120,6692646912,1070,435,280647877,185110134,0,872658133,0.3
2024-07-03 15:05:38.169928,7256055808,9870434304,7256055808,156053504,8165445632,1.9,478462033920,964734976,99.8,315875,304483,11492869120,6692680704,1070,435,280656408,185116747,0,872692730,0.9
2024-07-03 15:05:39.175749,7256580096,9869910016,7256580096,156053504,8165445632,1.9,478462033920,964734976,99.8,315875,304584,11492869120,6693483520,1070,435,280666302,185124334,0,872733142,1.5
